windowID,windowStart,windowEnd,packetCount,tcpPacketCount,tcpRatio,udpPacketCount,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,maxTCPWindowSize,synCount,ackCount,finCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,minTLSRecordLen,maxTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,minACKRoundTripTime,maxACKRoundTripTime,ACKRoundTripTimeCount,avgTimeDelta,stdTimeDelta,minTimeDelta,maxTimeDelta,tlsContentTypeChanegCipherCount,tlsContentTypeAlertCount,tlsContentTypeHandshakeCount,tlsContentTypeAppDataCount,label
4413,1774456236.822636,1774456237.864306,10,10,1.0,0,0.0,224.6,261.24114020064553,60,732,92.0,7,2,2156.1529264392216,4,4,146.8,77.38044541958475,210.0,261.66772823563855,3,3,166.4,263.8224150193965,8,0.8,2,28077.0,1635.0,65535.0,0,10,0,0,0,0.017351600000000002,0.021274953475337564,0.0,0.071415,4,3,0,0,1,2,0,0,0,0,0,0,0,135.85714285714286,225.3666853311351,26.0,629.0,0.02737328571428571,0.034025876950316725,0.001223,0.099688,7,0.017351600000000002,0.021274953475337564,0.0,0.071415,0,0,0,7,alexaBulbChange
4414,1774456292.0,1774456307.495207,3106,3104,0.9993560849967804,2,0.000643915003219575,1008.9030907920154,768.1010249221246,60,7206,1494.0,1056,1994,202233.696237802,5,5,60.104314230521574,6.760122777313396,994.8972955569865,768.1082091804494,4,4,943.4668170103092,768.0274663298898,2057,0.6626932989690721,3,2504.28125,0.0,65160.0,4,3099,2,2,2,0.003482259497746298,0.005761669403501726,0.0,0.06645,0,0,0,0,1042,2064,0,0,0,0,0,0,2,4045.1616595135906,3464.850497428535,26.0,16408.0,0.016577682600382414,0.004767342579614966,0.000987,0.071296,1046,0.0034711359536082477,0.005746560659419163,0.0,0.06645,0,2,6,691,outsideDetection
4415,1774456323.211281,1774456324.241813,9,9,1.0,0,0.0,197.66666666666666,220.63884517464282,60,705,87.0,6,1,1726.2930229846445,2,2,192.77777777777777,73.78647873726219,181.66666666666666,222.05855083738615,2,2,141.66666666666666,222.05855083738615,6,0.6666666666666666,1,30349.222222222223,1721.0,65535.0,0,9,0,0,0,0.023569222222222224,0.04346402501430861,0.0,0.135553,4,5,0,0,0,0,0,0,0,0,0,0,0,207.5,246.64448098427016,28.0,646.0,0.034220600000000004,0.04022839598219149,0.002731,0.103039,5,0.023569222222222224,0.04346402501430861,0.0,0.135553,0,0,0,6,alexaBulbOff
4416,1774456356.389474,1774456357.418784,8,8,1.0,0,0.0,214.625,228.71500512959042,60,703,87.0,5,1,1668.1077809220199,2,2,185.0,74.83314773547883,199.125,229.88782202258065,2,2,159.125,229.88782202258065,6,0.75,1,33995.5,2390.0,65535.0,0,8,0,0,0,0.007884375,0.008924507956624677,0.0,0.028509,4,4,0,0,0,0,0,0,0,0,0,0,0,207.16666666666666,245.9336631424553,28.0,644.0,0.030715200000000005,0.03541049072238339,0.003298,0.090439,5,0.007884375,0.008924507956624677,0.0,0.028509,0,0,0,6,alexaBulbOn
4417,1774456452.059803,1774456453.095302,8,8,1.0,0,0.0,228.625,244.2603631373703,60,707,87.0,5,1,1766.2980172674604,2,2,185.0,74.83314773547883,213.125,245.45668078676763,2,2,173.125,245.45668078676763,6,0.75,1,34211.0,2821.0,65535.0,0,8,0,0,0,0.02323675,0.028673855003918017,0.0,0.068256,4,4,0,0,0,0,0,0,0,0,0,0,0,225.83333333333334,261.46389170718516,28.0,648.0,0.0159266,0.01097591585244712,0.003999,0.029886,5,0.02323675,0.028673855003918017,0.0,0.068256,0,0,0,6,alexaBulbChange
4418,1774456504.821393,1774456506.110904,5,5,1.0,0,0.0,298.2,281.8673446854034,60,738,245.0,2,1,1156.252284832991,2,2,171.0,76.68115805072325,281.8,284.41026704393073,2,2,241.8,284.41026704393073,3,0.6,1,40315.8,2487.0,65535.0,0,5,0,0,0,0.020601799999999997,0.02845104689989456,0.002447,0.069668,3,2,0,0,0,0,0,0,0,0,0,0,0,257.5,101.1162697096763,186.0,329.0,0.07240166666666667,0.044285331762710475,0.021531,0.102345,3,0.020601799999999997,0.02845104689989456,0.002447,0.069668,0,0,0,2,alexaBulbOff
4419,1774456618.141695,1774456619.329005,8,8,1.0,0,0.0,218.75,238.85425921020783,60,736,87.0,5,1,1473.9200620730494,2,2,185.0,74.83314773547883,203.25,240.00699394571222,2,2,163.25,240.00699394571222,6,0.75,1,33762.5,1924.0,65535.0,0,8,0,0,0,0.012342125,0.013995963065291361,0.000328,0.03168,4,4,0,0,0,0,0,0,0,0,0,0,0,119.8,135.4887449200117,28.0,329.0,0.0313772,0.0385085364003879,0.002165,0.096451,5,0.012342125,0.013995963065291361,0.000328,0.03168,0,0,0,5,alexaBulbOn
4420,1774456756.035466,1774456757.065834,8,8,1.0,0,0.0,251.875,279.5938061341335,60,703,87.0,5,2,1955.611805324646,2,2,185.0,74.83314773547883,236.375,280.7815304772428,2,2,196.375,280.7815304772428,6,0.75,1,34211.0,2821.0,65535.0,0,8,0,0,0,0.027726,0.042649574538155884,0.0,0.129859,4,4,0,0,0,0,0,0,0,0,0,0,0,256.8333333333333,299.67743770038254,28.0,644.0,0.0132472,0.010963488003368271,0.003081,0.025978,5,0.027726,0.042649574538155884,0.0,0.129859,0,0,0,6,alexaBulbChange
4421,1774456791.2765,1774456792.314707,7,7,1.0,0,0.0,278.57142857142856,288.9658902263132,60,701,87.0,4,2,1878.238056876522,2,2,175.0,74.83314773547883,263.7142857142857,289.730170035106,2,2,223.71428571428572,289.730170035106,6,0.8571428571428571,1,38369.142857142855,2093.0,65535.0,0,7,0,0,0,0.020598714285714286,0.022534760110506948,0.0,0.06662,4,3,0,0,0,0,0,0,0,0,0,0,0,256.0,298.4198384826317,28.0,642.0,0.0365186,0.0387002920957969,0.008338,0.103757,5,0.020598714285714286,0.022534760110506948,0.0,0.06662,0,0,0,6,alexaBulbChange
4422,1774456846.393784,1774456847.425222,8,8,1.0,0,0.0,214.625,228.71500512959042,60,703,87.0,5,1,1664.6664268853424,2,2,185.0,74.83314773547883,199.125,229.88782202258065,2,2,159.125,229.88782202258065,6,0.75,1,33924.875,1726.0,65535.0,0,8,0,0,0,0.023636125,0.034943599808170474,0.0,0.095475,4,4,0,0,0,0,0,0,0,0,0,0,0,207.16666666666666,245.9336631424553,28.0,644.0,0.032091800000000004,0.03661997070861745,0.005989,0.095475,5,0.023636125,0.034943599808170474,0.0,0.095475,0,0,0,6,alexaBulbOff
4423,1774456848.0,1774456863.315685,2791,2789,0.9992834109638122,2,0.0007165890361877463,1008.1096381225367,785.1066307622996,60,8634,1494.0,941,1784,183709.3145876892,5,5,60.12468649229667,6.762234607137232,994.103188821211,785.1144464393385,4,4,942.7357475797777,785.0400167646205,1855,0.665112943707422,3,2594.2162065256366,0.0,65160.0,4,2784,2,2,2,0.003740321748477248,0.006290048266480051,0.0,0.067381,0,0,0,0,929,1862,0,0,0,0,0,0,2,4288.922818791946,3508.5386357768575,26.0,16408.0,0.016188979613733907,0.0043440183808843985,0.001107,0.062417,932,0.003732844030118322,0.0062860854572295575,0.0,0.067381,0,2,6,588,outsideDetection
4424,1774456897.238096,1774456898.267615,7,7,1.0,0,0.0,236.42857142857142,236.99075730420174,60,701,87.0,4,1,1607.5466986065219,2,2,175.0,74.83314773547883,221.57142857142858,237.74486124334854,2,2,181.57142857142858,237.74486124334854,6,0.8571428571428571,1,38509.71428571428,2421.0,65535.0,0,7,0,0,0,0.032958857142857144,0.05155546434481532,0.00015,0.147902,4,3,0,0,0,0,0,0,0,0,0,0,0,206.83333333333334,245.22350349562063,28.0,642.0,0.0326596,0.0368600594383677,0.005031,0.096689,5,0.032958857142857144,0.05155546434481532,0.00015,0.147902,0,0,0,6,alexaBulbOn
