windowID,windowStart,windowEnd,packetCount,tcpPacketCount,tcpRatio,udpPacketCount,udpRatio,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,uniqueTCPStreams,avgTCPWindowSize,minTCPWindowSize,maxTCPWindowSize,synCount,ackCount,finCount,uniqueUDPSrcPorts,uniqueUDPDstPorts,avgInterArrivalTime,stdInterArrivalTime,minInterArrivalTime,maxInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,minTLSRecordLen,maxTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,minACKRoundTripTime,maxACKRoundTripTime,ACKRoundTripTimeCount,avgTimeDelta,stdTimeDelta,minTimeDelta,maxTimeDelta,tlsContentTypeChanegCipherCount,tlsContentTypeAlertCount,tlsContentTypeHandshakeCount,tlsContentTypeAppDataCount,label
1660,1774285875.855051,1774285876.159343,3,3,1.0,0,0.0,173.0,172.86700089953547,60,372,87.0,2,0,1705.598773949242,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,1,23562.0,2559.0,65535.0,0,3,0,0,0,0.045071,0.03130417729313453,0.026771,0.081217,0,0,1,2,0,0,0,0,0,0,0,0,0,170.5,201.52543263816605,28.0,313.0,0.026998,0.00032102647865869224,0.026771,0.027225,2,0.045071,0.03130417729313453,0.026771,0.081217,0,0,0,2,bulbOff
6580,1774285876.159343,1774285887.15976,3,3,1.0,0,0.0,86.66666666666667,17.8978583448784,66,97,97.0,3,0,23.635467649960088,2,2,81.0,29.444863728670914,72.66666666666667,17.8978583448784,2,2,20.666666666666668,17.897858344878397,2,0.6666666666666666,1,3689.6666666666665,503.0,5283.0,0,3,0,0,0,0.007240000000000001,0.005546523325471551,0.001021,0.011675,0,0,0,0,1,2,0,0,0,0,0,0,0,26.0,0.0,26.0,26.0,0.01345,0.0175772603667352,0.001021,0.025879,2,0.007240000000000001,0.005546523325471551,0.001021,0.011675,0,0,0,2,idle
1661,1774285887.15976,1774285887.687549,3,3,1.0,0,0.0,172.66666666666666,172.2914197902302,60,371,87.0,2,0,981.4525998912233,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23540.0,2526.0,65535.0,0,3,0,0,0,0.008775666666666668,0.0066120398012514525,0.002436,0.01563,0,0,1,2,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,28.0,312.0,0.12405450000000001,0.13468192150582053,0.02882,0.219289,2,0.008775666666666668,0.0066120398012514525,0.002436,0.01563,0,0,0,2,bulbOn
1662,1774285888.056842,1774285888.197355,1,1,1.0,0,0.0,370.0,,370,370,370.0,0,0,2633.209378404151,1,1,255.0,,356.0,,1,1,316.0,,1,1.0,1,2821.0,2821.0,2821.0,0,1,0,0,0,0.000143,,0.000143,0.000143,0,1,0,0,0,0,0,0,0,0,0,0,0,311.0,,311.0,311.0,,,,,0,0.000143,,0.000143,0.000143,0,0,0,1,bulbChange
6581,1774285888.197355,1774285922.688644,2,2,1.0,0,0.0,73.5,19.091883092036785,60,87,73.5,2,0,4.261945687927024,2,2,185.0,98.99494936611666,56.5,23.33452377915607,2,2,16.5,23.33452377915607,1,0.5,1,34161.5,2788.0,65535.0,0,2,0,0,0,0.0332235,0.010307495549356303,0.025935,0.040512,1,1,0,0,0,0,0,0,0,0,0,0,0,28.0,,28.0,28.0,0.12241950000000001,0.13617250260056177,0.026131,0.218708,2,0.0332235,0.010307495549356303,0.025935,0.040512,0,0,0,1,idle
1663,1774285922.688644,1774285922.935348,2,2,1.0,0,0.0,229.0,200.8183258569795,87,371,229.0,1,0,1856.4750123701137,2,2,185.0,98.99494936611666,215.0,200.8183258569795,2,2,175.0,200.8183258569795,2,1.0,1,34161.5,2788.0,65535.0,0,2,0,0,0,0.0046700000000000005,0.0009079251070435267,0.004028,0.005312,1,1,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,28.0,312.0,0.026341,,0.026341,0.026341,1,0.0046700000000000005,0.0009079251070435267,0.004028,0.005312,0,0,0,2,bulbOff
6582,1774285922.935348,1774285928.198148,6,4,0.6666666666666666,2,0.3333333333333333,84.33333333333333,30.283108603092035,60,123,70.0,4,0,96.14653836182045,3,4,231.66666666666666,57.154760664940824,68.33333333333333,32.30273466235741,3,2,34.5,39.83716857408418,2,0.5,2,17963.25,1747.0,65535.0,0,4,0,1,1,0.053851666666666666,0.03947898639360776,0.009072,0.111124,0,1,0,0,0,0,1,4,0,0,0,0,0,64.0,0.0,64.0,64.0,0.13572366666666666,0.10101586628017073,0.024656,0.222115,3,0.05935025000000001,0.04142311833083067,0.024656,0.111124,0,0,0,2,idle
1664,1774285928.198148,1774285928.618361,5,3,0.6,2,0.4,131.6,134.18010284688262,60,371,70.0,4,0,1565.872604894976,3,3,227.0,62.609903369994115,116.4,135.004814728957,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,1,23518.0,2493.0,65535.0,0,3,0,1,1,0.0239356,0.022494346096297177,1e-06,0.059809,0,0,1,2,0,0,0,2,0,0,0,0,0,170.0,200.8183258569795,28.0,312.0,0.0495885,0.03359110764026694,0.025836,0.073341,2,0.032322333333333335,0.024885772689095538,0.011322,0.059809,0,0,0,2,bulbChange
6583,1774285928.618361,1774285935.936463,7,3,0.42857142857142855,4,0.5714285714285714,77.14285714285714,13.643418088692332,66,97,70.0,7,0,73.78962346321448,3,3,180.42857142857142,94.5477959250543,63.142857142857146,13.643418088692332,2,2,20.666666666666668,17.897858344878397,2,0.6666666666666666,1,3689.6666666666665,503.0,5283.0,0,3,0,1,1,0.07359385714285714,0.06603170570119724,0.001146,0.195409,0,0,0,0,1,2,0,4,0,0,0,0,0,26.0,0.0,26.0,26.0,0.013324,0.017222292762579552,0.001146,0.025502,2,0.03276966666666666,0.035814878756367914,0.001146,0.071661,0,0,0,2,idle
1665,1774285935.936463,1774285936.44216,3,3,1.0,0,0.0,172.33333333333334,171.71585055938584,60,370,87.0,2,0,1022.3517868070754,2,2,208.33333333333334,80.82903768654761,156.33333333333334,173.70185184198047,2,2,116.33333333333333,173.7018518419805,2,0.6666666666666666,1,23670.666666666668,2722.0,65535.0,0,3,0,0,0,0.032814,0.021039969272791254,0.014863,0.055967,1,2,0,0,0,0,0,0,0,0,0,0,0,169.5,200.11121907579295,28.0,311.0,0.0699125,0.059821940795163106,0.027612,0.112213,2,0.032814,0.021039969272791254,0.014863,0.055967,0,0,0,2,bulbOn
